BY4741_24	BY4741_37	Elo1_24	Elo1_37	Elo2_24	Elo2_37	Elo3_24	Elo3_37
TAG 16:1/18:1/20:0	0.0068	0.0027	0.0059	NA	NA	NA	0.0063	0.006403
TAG 16:1/18:1/22:0	NA	NA	0.0013	NA	NA	NA	0.0393	0.053959
TAG 16:1/18:1/24:0	0.0053	NA	0.0062	NA	NA	NA	NA	NA
TAG 16:1/18:1/26:0	0.0469	0.0716	0.0193	0.05355	NA	NA	NA	NA
TAG 18:0/18:0/18:0	0.0017	NA	0.0014	0.00147	NA	NA	NA	NA
TAG 18:0/18:0/18:1	0.0251	0.0296	0.0391	0.00959	0.0476	0.024977	0.0058	0.013139
TAG 18:0/18:1/18:1	0.0473	0.0219	0.097	0.01741	0.1537	0.073094	0.0178	0.008872
TAG 18:0/18:1/26:0	0.0019	NA	NA	0.00953	NA	NA	NA	NA
TAG 18:1/18:1/18:1	0.013	NA	0.0818	NA	0.0876	0.005585	0.0037	0.00148
TAG 18:1/18:1/26:0	NA	NA	NA	0.00075	NA	NA	NA	NA
